============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=4/188 loss=0.5843 lr=1.60e-04 elapsed=14.8s
[train] epoch=0 step=5/188 loss=0.6341 lr=2.00e-04 elapsed=18.3s
[train] epoch=0 step=6/188 loss=0.4788 lr=2.00e-04 elapsed=21.7s
[train] epoch=0 step=7/188 loss=0.4561 lr=2.00e-04 elapsed=24.6s
[train] epoch=0 step=8/188 loss=0.4009 lr=2.00e-04 elapsed=27.6s
[train] epoch=0 step=9/188 loss=0.4203 lr=2.00e-04 elapsed=30.6s
[train] epoch=0 step=10/188 loss=0.4210 lr=2.00e-04 elapsed=33.7s
[train] epoch=0 step=11/188 loss=0.3919 lr=2.00e-04 elapsed=36.9s
[train] epoch=0 step=12/188 loss=0.3601 lr=2.00e-04 elapsed=40.2s
[train] epoch=0 step=13/188 loss=0.3686 lr=1.99e-04 elapsed=44.4s
[train] epoch=0 step=14/188 loss=0.3919 lr=1.99e-04 elapsed=47.9s
[train] epoch=0 step=15/188 loss=0.3903 lr=1.99e-04 elapsed=50.9s
[train] epoch=0 step=16/188 loss=0.4078 lr=1.99e-04 elapsed=53.9s
[train] epoch=0 step=17/188 loss=0.3985 lr=1.98e-04 elapsed=57.3s
[train] epoch=0 step=18/188 loss=0.4059 lr=1.98e-04 elapsed=60.4s
[train] epoch=0 step=19/188 loss=0.3707 lr=1.98e-04 elapsed=63.6s
[train] epoch=0 step=20/188 loss=0.3501 lr=1.97e-04 elapsed=66.6s
[train] epoch=0 step=21/188 loss=0.4022 lr=1.97e-04 elapsed=70.1s
[train] epoch=0 step=22/188 loss=0.4493 lr=1.97e-04 elapsed=74.4s
[train] epoch=0 step=23/188 loss=0.4667 lr=1.96e-04 elapsed=77.8s
[train] epoch=0 step=24/188 loss=0.4083 lr=1.96e-04 elapsed=80.7s
[train] epoch=0 step=25/188 loss=0.3878 lr=1.95e-04 elapsed=83.8s
[train] epoch=0 step=26/188 loss=0.3450 lr=1.95e-04 elapsed=87.0s
[train] epoch=0 step=27/188 loss=0.3977 lr=1.94e-04 elapsed=90.1s
[train] epoch=0 step=28/188 loss=0.3585 lr=1.94e-04 elapsed=93.8s
[train] epoch=0 step=29/188 loss=0.4077 lr=1.93e-04 elapsed=96.7s
[train] epoch=0 step=30/188 loss=0.3931 lr=1.92e-04 elapsed=99.8s
[train] epoch=0 step=31/188 loss=0.3799 lr=1.92e-04 elapsed=104.1s
[train] epoch=0 step=32/188 loss=0.3403 lr=1.91e-04 elapsed=107.6s
[train] epoch=0 step=33/188 loss=0.3732 lr=1.91e-04 elapsed=110.6s
[train] epoch=0 step=34/188 loss=0.3255 lr=1.90e-04 elapsed=113.9s
[train] epoch=0 step=35/188 loss=0.3737 lr=1.89e-04 elapsed=117.3s
[train] epoch=0 step=36/188 loss=0.3186 lr=1.88e-04 elapsed=120.2s
[train] epoch=0 step=37/188 loss=0.3278 lr=1.88e-04 elapsed=123.6s
[train] epoch=0 step=38/188 loss=0.3894 lr=1.87e-04 elapsed=126.6s
[train] epoch=0 step=39/188 loss=0.3066 lr=1.86e-04 elapsed=130.0s
[train] epoch=0 step=40/188 loss=0.3655 lr=1.85e-04 elapsed=134.2s
[train] epoch=0 step=41/188 loss=0.3980 lr=1.84e-04 elapsed=138.4s
[train] epoch=0 step=42/188 loss=0.3553 lr=1.83e-04 elapsed=141.6s
[train] epoch=0 step=43/188 loss=0.3830 lr=1.82e-04 elapsed=144.6s
[train] epoch=0 step=44/188 loss=0.3660 lr=1.82e-04 elapsed=147.4s
[train] epoch=0 step=45/188 loss=0.3034 lr=1.81e-04 elapsed=150.4s
[train] epoch=0 step=46/188 loss=0.3278 lr=1.80e-04 elapsed=153.6s
[train] epoch=0 step=47/188 loss=0.2781 lr=1.79e-04 elapsed=156.5s
[train] epoch=0 step=48/188 loss=0.2978 lr=1.78e-04 elapsed=160.1s
[train] epoch=0 step=49/188 loss=0.3285 lr=1.77e-04 elapsed=164.7s
[train] epoch=0 step=50/188 loss=0.3018 lr=1.76e-04 elapsed=168.0s
[train] epoch=0 step=51/188 loss=0.3674 lr=1.74e-04 elapsed=171.0s
[train] epoch=0 step=52/188 loss=0.4019 lr=1.73e-04 elapsed=173.9s
[train] epoch=0 step=53/188 loss=0.3671 lr=1.72e-04 elapsed=177.0s
[train] epoch=0 step=54/188 loss=0.3388 lr=1.71e-04 elapsed=180.1s
[train] epoch=0 step=55/188 loss=0.3218 lr=1.70e-04 elapsed=183.6s
[train] epoch=0 step=56/188 loss=0.3202 lr=1.69e-04 elapsed=186.5s
[train] epoch=0 step=57/188 loss=0.3110 lr=1.68e-04 elapsed=189.4s
