============================================================
[repair-train 4/5] old_shard=14 task=task_sm model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_rft.json (3069 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_sm/openai/gpt-oss-20b/train_tfb.json (6138 rows)
[train] saved state -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sm/openai/gpt-oss-20b/rft/state.json
[train] task=task_sm model=openai/gpt-oss-20b method=tfb -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_sm/openai/gpt-oss-20b/tfb/state.json
[train] encoding 6138 examples ...
[train] kept 6138/6138 examples after encoding
[train] 6138 datums, batch_size=32, total_steps=192
[train] epoch=0 step=1/192 loss=0.7162 lr=4.00e-05 elapsed=3.3s
[train] epoch=0 step=2/192 loss=0.5298 lr=8.00e-05 elapsed=5.8s
[train] epoch=0 step=3/192 loss=0.6016 lr=1.20e-04 elapsed=9.1s
[train] epoch=0 step=4/192 loss=0.5834 lr=1.60e-04 elapsed=12.9s
[train] epoch=0 step=5/192 loss=0.4351 lr=2.00e-04 elapsed=15.8s
[train] epoch=0 step=6/192 loss=0.4514 lr=2.00e-04 elapsed=19.2s
[train] epoch=0 step=7/192 loss=0.4842 lr=2.00e-04 elapsed=23.9s
[train] epoch=0 step=8/192 loss=0.4634 lr=2.00e-04 elapsed=27.5s
[train] epoch=0 step=9/192 loss=0.4450 lr=2.00e-04 elapsed=30.2s
[train] epoch=0 step=10/192 loss=0.4281 lr=2.00e-04 elapsed=34.0s
[train] epoch=0 step=11/192 loss=0.4396 lr=2.00e-04 elapsed=36.8s
[train] epoch=0 step=12/192 loss=0.4049 lr=2.00e-04 elapsed=39.1s
[train] epoch=0 step=13/192 loss=0.3935 lr=1.99e-04 elapsed=43.3s
[train] epoch=0 step=14/192 loss=0.4820 lr=1.99e-04 elapsed=46.5s
[train] epoch=0 step=15/192 loss=0.3238 lr=1.99e-04 elapsed=49.6s
[train] epoch=0 step=16/192 loss=0.4718 lr=1.99e-04 elapsed=54.3s
[train] epoch=0 step=17/192 loss=0.3854 lr=1.98e-04 elapsed=58.3s
[train] epoch=0 step=18/192 loss=0.4353 lr=1.98e-04 elapsed=61.4s
[train] epoch=0 step=19/192 loss=0.4145 lr=1.98e-04 elapsed=66.5s
[train] epoch=0 step=20/192 loss=0.4172 lr=1.98e-04 elapsed=70.2s
[train] epoch=0 step=21/192 loss=0.4204 lr=1.97e-04 elapsed=73.1s
[train] epoch=0 step=22/192 loss=0.3706 lr=1.97e-04 elapsed=76.0s
[train] epoch=0 step=23/192 loss=0.3831 lr=1.96e-04 elapsed=89.4s
[train] epoch=0 step=24/192 loss=0.4256 lr=1.96e-04 elapsed=93.6s
[train] epoch=0 step=25/192 loss=0.4013 lr=1.95e-04 elapsed=96.9s
[train] epoch=0 step=26/192 loss=0.4792 lr=1.95e-04 elapsed=99.9s
[train] epoch=0 step=27/192 loss=0.3950 lr=1.94e-04 elapsed=103.1s
[train] epoch=0 step=28/192 loss=0.4045 lr=1.94e-04 elapsed=106.4s
[train] epoch=0 step=29/192 loss=0.3583 lr=1.93e-04 elapsed=110.4s
[train] epoch=0 step=30/192 loss=0.4331 lr=1.93e-04 elapsed=113.4s
[train] epoch=0 step=31/192 loss=0.4451 lr=1.92e-04 elapsed=117.1s
[train] epoch=0 step=32/192 loss=0.4724 lr=1.92e-04 elapsed=120.2s
[train] epoch=0 step=33/192 loss=0.3586 lr=1.91e-04 elapsed=123.2s
[train] epoch=0 step=34/192 loss=0.3565 lr=1.90e-04 elapsed=126.7s
[train] epoch=0 step=35/192 loss=0.3774 lr=1.90e-04 elapsed=129.4s
[train] epoch=0 step=36/192 loss=0.3719 lr=1.89e-04 elapsed=133.2s
[train] epoch=0 step=37/192 loss=0.3675 lr=1.88e-04 elapsed=135.9s
[train] epoch=0 step=38/192 loss=0.3674 lr=1.87e-04 elapsed=139.8s
[train] epoch=0 step=39/192 loss=0.4055 lr=1.87e-04 elapsed=143.3s
[train] epoch=0 step=40/192 loss=0.3970 lr=1.86e-04 elapsed=146.5s
[train] epoch=0 step=41/192 loss=0.3609 lr=1.85e-04 elapsed=149.5s
[train] epoch=0 step=42/192 loss=0.3613 lr=1.84e-04 elapsed=162.4s
[train] epoch=0 step=43/192 loss=0.3970 lr=1.83e-04 elapsed=166.1s
[train] epoch=0 step=44/192 loss=0.3394 lr=1.82e-04 elapsed=169.6s
[train] epoch=0 step=45/192 loss=0.4438 lr=1.81e-04 elapsed=174.1s
[train] epoch=0 step=46/192 loss=0.3472 lr=1.80e-04 elapsed=177.4s
[train] epoch=0 step=47/192 loss=0.3463 lr=1.79e-04 elapsed=181.1s
[train] epoch=0 step=48/192 loss=0.4380 lr=1.79e-04 elapsed=184.6s
[train] epoch=0 step=49/192 loss=0.3313 lr=1.78e-04 elapsed=187.0s
[train] epoch=0 step=50/192 loss=0.3837 lr=1.77e-04 elapsed=190.3s
[train] epoch=0 step=51/192 loss=0.3815 lr=1.75e-04 elapsed=192.8s
[train] epoch=0 step=52/192 loss=0.3015 lr=1.74e-04 elapsed=196.0s
[train] epoch=0 step=53/192 loss=0.3744 lr=1.73e-04 elapsed=199.7s
[train] epoch=0 step=54/192 loss=0.4140 lr=1.72e-04 elapsed=203.3s
[train] epoch=0 step=55/192 loss=0.3601 lr=1.71e-04 elapsed=206.7s
[train] epoch=0 step=56/192 loss=0.4318 lr=1.70e-04 elapsed=210.7s
[train] epoch=0 step=57/192 loss=0.4103 lr=1.69e-04 elapsed=214.7s
[train] epoch=0 step=58/192 loss=0.3799 lr=1.68e-04 elapsed=217.5s
[train] epoch=0 step=59/192 loss=0.4069 lr=1.67e-04 elapsed=220.9s
[train] epoch=0 step=60/192 loss=0.3381 lr=1.65e-04 elapsed=224.2s
[train] epoch=0 step=61/192 loss=0.3794 lr=1.64e-04 elapsed=226.7s
[train] epoch=0 step=62/192 loss=0.3808 lr=1.63e-04 elapsed=230.7s
[train] epoch=0 step=63/192 loss=0.3852 lr=1.62e-04 elapsed=234.7s
[train] epoch=0 step=64/192 loss=0.3203 lr=1.61e-04 elapsed=237.7s
[train] epoch=0 step=65/192 loss=0.3201 lr=1.59e-04 elapsed=243.1s
[train] epoch=0 step=66/192 loss=0.4042 lr=1.58e-04 elapsed=256.4s
[train] epoch=0 step=67/192 loss=0.3629 lr=1.57e-04 elapsed=259.7s
[train] epoch=0 step=68/192 loss=0.3480 lr=1.55e-04 elapsed=263.7s
[train] epoch=0 step=69/192 loss=0.3585 lr=1.54e-04 elapsed=267.2s
[train] epoch=0 step=70/192 loss=0.3634 lr=1.53e-04 elapsed=271.1s
[train] epoch=0 step=71/192 loss=0.3544 lr=1.51e-04 elapsed=276.1s
[train] epoch=0 step=72/192 loss=0.3350 lr=1.50e-04 elapsed=279.5s
[train] epoch=0 step=73/192 loss=0.3476 lr=1.49e-04 elapsed=282.7s
[train] epoch=0 step=74/192 loss=0.3839 lr=1.47e-04 elapsed=285.9s
[train] epoch=0 step=75/192 loss=0.3827 lr=1.46e-04 elapsed=289.4s
[train] epoch=0 step=76/192 loss=0.2955 lr=1.45e-04 elapsed=293.3s
[train] epoch=0 step=77/192 loss=0.3482 lr=1.43e-04 elapsed=296.7s
[train] epoch=0 step=78/192 loss=0.4650 lr=1.42e-04 elapsed=299.9s
[train] epoch=0 step=79/192 loss=0.4312 lr=1.40e-04 elapsed=303.8s
[train] epoch=0 step=80/192 loss=0.3362 lr=1.39e-04 elapsed=307.4s
[train] epoch=0 step=81/192 loss=0.3663 lr=1.38e-04 elapsed=310.9s
[train] epoch=0 step=82/192 loss=0.4087 lr=1.36e-04 elapsed=314.4s
[train] epoch=0 step=83/192 loss=0.3644 lr=1.35e-04 elapsed=318.3s
[train] epoch=0 step=84/192 loss=0.3487 lr=1.33e-04 elapsed=322.2s
[train] epoch=0 step=85/192 loss=0.4040 lr=1.32e-04 elapsed=325.6s
