============================================================
[repair-train 2/5] old_shard=12 task=task_elections model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_rft.json (3021 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_tfb.json (6042 rows)
[train] epoch=0 step=21/189 loss=0.6747 lr=1.97e-04 elapsed=77.5s
[train] epoch=0 step=22/189 loss=0.6045 lr=1.97e-04 elapsed=80.7s
[train] epoch=0 step=23/189 loss=0.6750 lr=1.96e-04 elapsed=85.0s
[train] epoch=0 step=24/189 loss=0.5939 lr=1.96e-04 elapsed=88.5s
[train] epoch=0 step=25/189 loss=0.5804 lr=1.95e-04 elapsed=91.4s
[train] epoch=0 step=26/189 loss=0.6788 lr=1.95e-04 elapsed=94.7s
[train] epoch=0 step=27/189 loss=0.6187 lr=1.94e-04 elapsed=97.2s
[train] epoch=0 step=28/189 loss=0.6307 lr=1.94e-04 elapsed=100.5s
[train] epoch=0 step=29/189 loss=0.6569 lr=1.93e-04 elapsed=103.9s
[train] epoch=0 step=30/189 loss=0.5941 lr=1.93e-04 elapsed=107.8s
[train] epoch=0 step=31/189 loss=0.5985 lr=1.92e-04 elapsed=111.2s
[train] epoch=0 step=32/189 loss=0.6187 lr=1.91e-04 elapsed=114.6s
[train] epoch=0 step=33/189 loss=0.5453 lr=1.91e-04 elapsed=117.6s
[train] epoch=0 step=34/189 loss=0.6307 lr=1.90e-04 elapsed=120.4s
[train] epoch=0 step=35/189 loss=0.6230 lr=1.89e-04 elapsed=123.7s
[train] epoch=0 step=36/189 loss=0.5971 lr=1.88e-04 elapsed=126.3s
[train] epoch=0 step=37/189 loss=0.6043 lr=1.88e-04 elapsed=139.6s
[train] epoch=0 step=38/189 loss=0.6028 lr=1.87e-04 elapsed=143.7s
[train] epoch=0 step=39/189 loss=0.5952 lr=1.86e-04 elapsed=146.9s
[train] epoch=0 step=40/189 loss=0.5462 lr=1.85e-04 elapsed=150.1s
[train] epoch=0 step=41/189 loss=0.5939 lr=1.84e-04 elapsed=153.5s
[train] epoch=0 step=42/189 loss=0.5453 lr=1.84e-04 elapsed=156.4s
[train] epoch=0 step=43/189 loss=0.6111 lr=1.83e-04 elapsed=159.2s
[train] epoch=0 step=44/189 loss=0.5985 lr=1.82e-04 elapsed=161.6s
[train] epoch=0 step=45/189 loss=0.6118 lr=1.81e-04 elapsed=165.5s
[train] epoch=0 step=46/189 loss=0.6201 lr=1.80e-04 elapsed=168.4s
[train] epoch=0 step=47/189 loss=0.5492 lr=1.79e-04 elapsed=171.1s
[train] epoch=0 step=48/189 loss=0.5943 lr=1.78e-04 elapsed=175.3s
[train] epoch=0 step=49/189 loss=0.5945 lr=1.77e-04 elapsed=178.9s
[train] epoch=0 step=50/189 loss=0.5826 lr=1.76e-04 elapsed=182.7s
[train] epoch=0 step=51/189 loss=0.6064 lr=1.75e-04 elapsed=185.8s
[train] epoch=0 step=52/189 loss=0.6217 lr=1.74e-04 elapsed=188.4s
[train] epoch=0 step=53/189 loss=0.5620 lr=1.73e-04 elapsed=190.7s
[train] epoch=0 step=54/189 loss=0.5777 lr=1.71e-04 elapsed=194.0s
[train] epoch=0 step=55/189 loss=0.6077 lr=1.70e-04 elapsed=197.5s
[train] epoch=0 step=56/189 loss=0.5649 lr=1.69e-04 elapsed=199.9s
[train] epoch=0 step=57/189 loss=0.5416 lr=1.68e-04 elapsed=212.8s
[train] epoch=0 step=58/189 loss=0.6157 lr=1.67e-04 elapsed=216.0s
[train] epoch=0 step=59/189 loss=0.5876 lr=1.66e-04 elapsed=219.3s
[train] epoch=0 step=60/189 loss=0.6234 lr=1.64e-04 elapsed=224.6s
[train] epoch=0 step=61/189 loss=0.6324 lr=1.63e-04 elapsed=228.3s
[train] epoch=0 step=62/189 loss=0.5937 lr=1.62e-04 elapsed=233.0s
